flight,start_index,truth_path_km,lstm_mean_error_km,lstm_median_error_km,lstm_p95_error_km,lstm_path_error_km,great_circle_mean_error_km,great_circle_median_error_km,great_circle_p95_error_km,great_circle_path_error_km,linear_mean_error_km,linear_median_error_km,linear_p95_error_km,linear_path_error_km
000447_1744940590,37,360.0340956286502,17.956883338584795,11.083835377420897,53.222466783372894,-21.902187720489223,18.88949296241184,12.917064782738391,54.27678226636197,-25.834137244464955,18.904638888025488,12.917894496963168,54.29937797899666,-25.83278921265361
000447_1744940590,35,336.42533503233375,27.22533170576271,18.620004400468343,67.30339648980335,-17.551303460061774,27.550743515887387,18.879010004047863,67.1370222771583,-21.41227050976994,27.569039932020274,18.897177179288654,67.16056012703348,-21.411146110678658
000448_1742396847,15,199.164892848681,27.857869514146252,31.7105946374567,46.45242309695899,-12.201863309190117,27.968231938876414,31.824642243099994,46.28337063626617,-12.943385741757254,27.96338743054435,31.81804276290611,46.27847446613629,-12.943176737073912
000448_1742396847,10,185.0144999351628,21.16084643347681,19.54773436885708,38.68949644765761,0.3916949151964104,21.23272823001055,19.672381469622156,38.5856564163477,-0.3498701501010544,21.23449773161015,19.675353403765353,38.59228389238115,-0.34967177268418936
000448_1742396847,2,110.85249599423528,13.169736454995103,13.870622194219667,21.551613673945557,19.550470928987835,13.067917330424857,13.684000780842926,21.60439010057474,18.808056079057963,13.066600871676204,13.682426134084178,21.60197579442252,18.808120634212287
000448_1745397263,29,473.665310925708,343.7186517328788,221.3552438852509,884.3769150721105,903.9239130385535,491.31323076680536,414.3568188569555,951.8760029565265,790.2753825524043,489.5238485717411,411.98218060971266,951.3691055960893,790.3275083544851
000448_1745397263,15,145.91372992439318,12.861161551305822,16.21257929607342,23.588250559322603,-6.176674632495576,16.675198050237938,21.253123879215856,28.123858878027303,-9.520314457938042,16.660256967978576,21.233981401026515,28.108105038367366,-9.520012774094653
000448_1745397263,17,101.48742561103745,14.683055439166415,18.317507288330024,25.503078618930243,29.040086634661066,18.16905669550489,21.134496030879134,28.238920399261563,28.141865104114373,18.157017583747642,21.122422025611435,28.228702506181968,28.142123584870973
000449_1720773040,0,2348.5394508182358,200.03593078411316,125.78582273486066,639.9515129862656,-849.6016028471972,354.64670106168535,258.05977192679734,859.0821877000084,-1054.1002894174708,355.75673390839376,257.27522075440265,862.7209583057984,-1053.6637085002394
000449_1720773040,0,2348.5394508182358,200.03593078411316,125.78582273486066,639.9515129862656,-849.6016028471972,354.64670106168535,258.05977192679734,859.0821877000084,-1054.1002894174708,355.75673390839376,257.27522075440265,862.7209583057984,-1053.6637085002394
000449_1720773040,1,2369.8683550921155,229.32462488163392,128.83952860413353,632.3275957250016,-887.218369890702,350.00509862959956,326.44463701347934,758.8370750671168,-1092.4841030253228,350.24228395446977,326.91197605198613,762.1620885236221,-1092.0541580028405
000449_1721378328,1,1726.052003522415,410.1800443770706,381.11983132047305,748.5913303722492,389.68764635436446,400.5304305096062,428.47546143752203,676.4881558101122,491.28007686081173,406.57331055450453,434.00058499003546,680.2037577676052,492.88503583387774
000449_1721378328,1,1726.052003522415,410.1800443770706,381.11983132047305,748.5913303722492,389.68764635436446,400.5304305096062,428.47546143752203,676.4881558101122,491.28007686081173,406.57331055450453,434.00058499003546,680.2037577676052,492.88503583387774
000449_1721378328,0,1552.3846406045488,594.9548073952898,651.3699090736764,992.090351477229,55.51049207779488,605.0175763742819,600.6241788201615,971.2169243896374,-96.60907125963263,608.4643841125833,605.4072778049369,972.4456195323497,-96.06754271085492
000449_1722328057,9,1430.5872204921038,90.82857556984264,40.783732675417326,269.90989940158573,-48.97218309697905,183.7983356495011,150.03343211572462,336.5369546334496,-199.15390096927626,184.44253291678473,151.7642017361677,333.75984116004065,-198.75402804726127
000449_1722328057,5,1484.6507837379372,139.44908914608374,114.58968172813573,297.4552781147474,147.3852367183199,166.2431653231805,169.4602682676253,301.7166650325901,-6.710629088404858,171.2414536890282,175.12985275478337,309.0900505481283,-6.157607694692615
000449_1722328057,4,1612.2972640664357,179.85511231494164,179.6007399886664,342.097121057786,-10.43060912382657,188.35897910847598,205.7041486989549,326.4130985413273,-164.62164675892632,192.61891555917234,211.16037196105472,331.933672271766,-164.13728458433002
000449_1735669473,8,599.6299329111589,48.67198739766648,38.79633163807145,102.52476931958891,-31.991704383638194,57.79657083223101,51.5899087351912,103.55315735076401,-43.8963553773699,59.28891907002166,53.63562630576102,104.65362086730768,-43.8668765906707
000449_1735669473,4,747.3566945749337,102.67173412001338,102.57267373804962,157.55890958655044,31.29353579544545,127.38849698150072,118.67390715729178,213.22097436952728,-10.054318969667293,127.64144764323734,118.81462985169733,213.52939258737004,-10.05226848407483
