flight,truth_gap_dist_km,truth_gap_co2_kg,truth_full_dist_km,truth_full_co2_kg,lstm_gap_dist_km,lstm_gap_dist_err_km,lstm_gap_co2_err_kg,lstm_full_dist_km,lstm_full_dist_err_km,lstm_full_co2_err_kg,great_circle_gap_dist_km,great_circle_gap_dist_err_km,great_circle_gap_co2_err_kg,great_circle_full_dist_km,great_circle_full_dist_err_km,great_circle_full_co2_err_kg,linear_gap_dist_km,linear_gap_dist_err_km,linear_gap_co2_err_kg,linear_full_dist_km,linear_full_dist_err_km,linear_full_co2_err_kg
020093_1776787362,87.14448616150955,826.1297288111106,2561.632333220428,24284.27451892966,85.00025010382159,-2.144236057687962,-20.327357826881883,2561.9121463949546,0.2798131745266801,2.6526288945129273,76.38077199395158,-10.763714167557964,-102.04001030844951,2561.6317387693853,-0.0005944510426161287,-0.0056353958840009,76.38155601285318,-10.762930148656366,-102.03257780926235,2561.632654730544,0.0003215101160094491,0.003047915899769578
020104_1776762192,32.887410649550226,311.77265295773617,897.6769968728986,8509.977930355079,30.51673946587073,-2.3706711836794945,-22.47396282128161,897.5973174322892,-0.079679440609425,-0.755361096977349,30.289076888570243,-2.5983337609799833,-24.63220405409024,897.5756071722935,-0.10138970060506836,-0.9611743617360481,30.289111931134496,-2.5982987184157302,-24.631871850581124,897.5756470329744,-0.10134983992418256,-0.9607964824812507
020104_1776772920,46.47791041698076,440.61059075297766,822.1180083774352,7793.678719418086,41.57147046685801,-4.906439950122753,-46.513050727163694,822.1922156951682,0.07420731773299849,0.7034853721088257,42.25161948404495,-4.226290932935811,-40.06523804423149,822.1099029375314,-0.008105439903829392,-0.07683957028830264,42.251705563795404,-4.226204853185358,-40.0644220081972,822.1100010523079,-0.008007325127323384,-0.07590944220702568
020110_1776788846,4.041264052406436,38.31118321681301,707.6132029445057,6708.173163913914,4.460325427518842,0.41906137511240615,3.9727018360656103,707.5825601925578,-0.030642751947880242,-0.2904932884659047,4.502881727977766,0.4616176755713308,4.3761355644162165,707.573830879722,-0.03937206478371991,-0.37324717414966474,4.502881793147306,0.4616177407408708,4.376136182223456,707.573830955539,-0.03937198896664995,-0.37324645540384155
020110_1776799481,211.80608312988744,2007.921668071333,588.1816401737833,5575.961948847466,195.47848383338965,-16.327599296497795,-154.7856413307991,588.7452817002093,0.563641526425954,5.343321670518044,178.54703472794836,-33.25904840193908,-315.29577885038253,588.1805880395387,-0.0010521342445599657,-0.009974232638428476,178.5479732509626,-33.25810987892484,-315.2868816522075,588.1816747045535,3.453077022186335e-05,0.0003273517017032646
020118_1776784560,35.15068182952235,333.2284637438719,1840.4830549881253,17447.77936128743,29.330736445635853,-5.819945383886495,-55.173082239243975,1840.344212863871,-0.13884212425432452,-1.3162233379309964,29.07089238461235,-6.0797894449099985,-57.63640393774679,1840.3379819990964,-0.14507298902890398,-1.3752919359940097,29.070915097394263,-6.0797667321280855,-57.63618862057425,1840.338009071756,-0.14504591636932673,-1.3750352871812175
020118_1776796722,68.31396971336092,647.6164328826616,1830.1700548071058,17350.012119571362,65.8993411829813,-2.4146285303796162,-22.890678467998764,1830.230089446051,0.06003463894512606,0.5691283771997951,59.0812569374945,-9.232712775866418,-87.52611711521364,1830.169855869494,-0.00019893761168532365,-0.0018859285587768683,59.08153752397395,-9.23243218938697,-87.52345715538847,1830.170181857758,0.0001270506522814685,0.0012044401836283215
020122_1776777373,6.83350138792696,64.78159315754759,2255.4702163101438,21381.857650620164,6.133572978230864,-0.6999284096960956,-6.635321323918987,2255.4756512224703,0.00543491232656379,0.05152296885582473,6.089704164474935,-0.7437972234520247,-7.051197678325194,2255.4699069485832,-0.00030936156053940067,-0.0029327475939135185,6.0897043804134725,-0.7437970075134874,-7.051195631227861,2255.469907209493,-0.0003091006506110716,-0.002930274167792959
020140_1776747666,70.91690170113479,672.2922281267579,2095.2018702740297,19862.513730197803,90.35641046061272,19.43950875947793,184.28654303985078,2095.708076050515,0.5062057764853307,4.798830761080936,79.51877100021663,8.60186929908184,81.54572095529585,2095.0505774567537,-0.15129281727604393,-1.4342559077768966,79.51950658755266,8.602604886417865,81.55269432324137,2095.051438547236,-0.15043172679361305,-1.4260927700034518
020140_1776764703,22.1810966916487,210.2767966368297,2159.667019373429,20473.643343660107,18.75372820283371,-3.4273684888149916,-32.49145327396612,2159.6779492646806,0.010929891251635127,0.103615369065501,18.907695537084173,-3.273401154564528,-31.031842945271727,2159.6668910068956,-0.00012836653331760317,-0.0012169147358508782,18.9076976937397,-3.273398997909002,-31.031822500177338,2159.666893639357,-0.00012573407184390817,-0.0011919590010802494
